total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
92,1.000000000000000,1,1,3,33,-.1349101891542360E-04,1,1401,.1566630304486650E-01,1,484,-0.2422733,3.750495
93,1.000000000000000,1,1,3,34,-.5843111240208379E-04,1,1401,.1056378378242306E-01,1,484,-13.31818,4.397811
94,1.000000000000000,1,1,3,35,-.2856146556814327E-04,1,1401,.8269874247504234E-02,1,484,3.708887,0.9171951
95,1.000000000000000,1,1,3,36,-.3425365725347056E-04,1,1401,.5082202199023649E-02,1,484,2.154737,9.222709
96,1.000000000000000,1,1,3,37,-.2539292756245830E-04,1,1401,.2807084737062567E-02,1,484,4.306935,0.8655851
97,1.000000000000000,1,1,3,38,-.1473284615218207E-04,1,1401,.1448317713308824E-02,1,484,2.934039,1.143821
98,1.000000000000000,1,1,3,39,-.1541766776483749E-04,1,1401,.5590864219545278E-04,1,484,2.997045,0.8806048
99,1.000000000000000,1,1,3,40,.2135785894901061E-05,1,1401,.2480011164822298E-03,1,484,0.5658593,3.114147
100,1.000000000000000,1,1,3,41,-.5743186927601115E-05,1,1401,-.2797075639028413E-03,1,484,13.19249,1.443071
101,1.000000000000000,1,1,3,42,.3333364869970115E-05,1,1401,.2715695767423149E-04,1,484,0.3626839,0.3445424E-01
102,1.000000000000000,1,1,3,43,.5280722894729489E-06,1,1401,.7581968109390693E-04,1,484,-6.557205,0.3224441
103,1.000000000000000,1,1,4,1,-.8080019161556332E-01,1,1306,53.69478516798382,1,484,4.430246,1.048584
104,1.000000000000000,1,1,4,2,-.3001428864041226,1,1328,37.65253293837276,1,337,7.878157,1.160243
105,1.000000000000000,1,1,4,3,-.5362760421882500,1,1328,50.62733462301666,1,337,4.821147,1.073433
106,1.000000000000000,1,1,4,4,-.9686911286746555,1,1401,41.23129536510154,1,337,3.967361,1.865998
107,1.000000000000000,1,1,4,5,-1.883053276934749,1,1401,25.10770556246439,1,357,4.174750,1.258325
108,1.000000000000000,1,1,4,6,-1.102723737583261,1,1401,-41.60157598387096,1,484,2.994754,1.305481
109,1.000000000000000,1,1,4,7,-.2606233591643946,1,32,-43.92874899472252,1,484,1.690575,2.069652
110,1.000000000000000,1,1,4,8,-.5764187923957353,1,32,-43.90703260723420,1,484,3.942470,0.8093504
111,1.000000000000000,1,1,4,9,.2884819066973340,1,1401,-9.635474759588945,1,484,0.3690064,19.47695
112,1.000000000000000,1,1,4,10,-.4060556551314129,1,1496,-9.385330483415780,1,484,10.31028,2.982711
113,1.000000000000000,1,1,4,11,-.1807515193674394,1,1496,-10.55842659921689,1,484,3.622168,0.8378928
114,1.000000000000000,1,1,4,12,-.1525078747934008,1,1502,-8.221850253848961,1,484,2.050663,4.514731
115,1.000000000000000,1,1,4,13,-.9330289562429202E-01,1,1502,-6.195977355947509,1,484,2.472437,1.100749
116,1.000000000000000,1,1,4,14,-.6234346623770579E-01,1,1502,-4.343702456351510,1,484,3.374973,1.148138
117,1.000000000000000,1,1,4,15,-.5902335904958995E-01,1,1502,-2.420075710858690,1,484,3.317363,1.086433
118,1.000000000000000,1,1,4,16,.1210110802721984E-01,1,1502,-2.821968321251019,1,484,-1.928827,1.162407
119,1.000000000000000,1,1,4,17,-.6089191729348063E-01,1,1502,-.8448268878587178,1,484,-1.638100,14.89748
120,1.000000000000000,1,1,4,18,-.1054808348193466E-01,1,1502,-.5114791593149771,1,484,2.234984,0.7895949
121,1.000000000000000,1,1,4,19,-.9554083744904386E-02,1,1496,-.8055136736445531E-01,1,484,1.702862,12.52540
122,1.000000000000000,1,1,4,20,-.5534004870735628E-02,1,1502,-.3089169232566452E-01,1,484,3.682621,0.8537567
123,1.000000000000000,1,1,4,21,-.2600025674687719E-03,1,63,-.1705482141508211E-01,1,357,0.5663660E-01,6.099459
124,1.000000000000000,1,1,4,22,-.1647346023728431E-02,1,1502,.1683292421913647E-01,1,484,68.28668,1.165891
125,1.000000000000000,1,1,4,23,-.5363618809160577E-03,1,1502,.2258848147556798E-01,1,484,2.200135,1.466776
126,1.000000000000000,1,1,4,24,-.5359835574179294E-03,1,63,.1945608325680664E-01,1,484,2.012466,10.58699
127,1.000000000000000,1,1,4,25,-.1844317832126786E-03,1,63,.1969761219443417E-01,1,484,2.487967,0.8827542
128,1.000000000000000,1,1,4,26,-.7674301404638872E-04,1,63,.1798018471624154E-01,1,484,2.190701,1.475494
129,1.000000000000000,1,1,4,27,-.1469493406704160E-03,1,63,.1241999115928594E-01,1,484,8.761167,0.8389691
130,1.000000000000000,1,1,4,28,.1776788502716548E-03,1,1364,-.1699394036712495E-02,1,1406,0.2671919,38.15776
131,1.000000000000000,1,1,4,29,-.1546224869805010E-04,1,1157,.1736448740722185E-02,1,484,4.463001,0.8660680
132,1.000000000000000,1,1,4,30,-.2944367372689344E-04,1,63,.4062755811054870E-03,1,484,11.79739,0.8990113
133,1.000000000000000,1,1,4,31,.9917430267565814E-05,1,63,.7173865576154924E-03,1,484,0.3896134,5.435960
134,1.000000000000000,1,1,4,32,-.6577472244489586E-05,1,63,.5775101467788584E-03,1,484,4.378491,1.095064
135,1.000000000000000,1,1,4,33,-.4151101945274680E-05,1,63,.3536294387277808E-03,1,484,1.768343,5.322658
136,1.000000000000000,1,1,4,34,.3431872235228436E-04,1,63,.1311234600565910E-02,1,484,-44.70202,0.8452095
137,1.000000000000000,1,1,4,35,-.3913241469644874E-04,1,63,.1864992500531830E-03,1,484,-0.9366220E-01,3.802314
138,1.000000000000000,1,1,4,36,.1588914501981164E-06,1,1499,.1816177168172993E-03,1,484,-0.5107885E-01,1.488412
139,1.000000000000000,1,1,5,1,.1119122827581873,1,98,10.34766242981378,1,484,4.619420,1.009774
140,1.000000000000000,1,1,5,2,.7389036243983411E-01,1,1342,-3.103832381185507,1,357,3.240186,1.228651
141,1.000000000000000,1,1,5,3,.1886503493317013,1,1330,7.061987768731218,1,337,11.68235,0.8764793
142,1.000000000000000,1,1,5,4,-.9445281944410375E-01,1,1392,3.596917866033999,1,484,0.4033814,4.119650
143,1.000000000000000,1,1,5,5,-.5411448679209230E-01,1,1501,4.015670639517277,1,484,6.311972,1.694467
144,1.000000000000000,1,1,5,6,-.4490173332024179E-01,1,1501,4.174984913545551,1,484,2.575969,1.171216
145,1.000000000000000,1,1,5,7,-.6526717926219500E-01,1,1496,4.287718523933207,1,484,3.689858,1.360812
146,1.000000000000000,1,1,5,8,-.2351864599004792,1,1496,4.784039250477141,1,484,6.549787,1.267844
147,1.000000000000000,1,1,5,9,-.3738777907523506,1,1496,6.431140487452049,1,484,3.394825,3.379077
148,1.000000000000000,1,1,5,10,-.2512093883174948,1,1496,7.085044551543443,1,484,2.784553,1.007061
